DATE,USALORSGPNOSTSAM
1960-01-01,101.003413171468
1960-02-01,101.013278109249
1960-03-01,100.939606030885
1960-04-01,100.784798404199
1960-05-01,100.567238949033
1960-06-01,100.303961350545
1960-07-01,99.9978480958864
1960-08-01,99.6483830025186
1960-09-01,99.2650938956212
1960-10-01,98.8835431932742
1960-11-01,98.5490328190337
1960-12-01,98.3005826764799
1961-01-01,98.1518757026901
1961-02-01,98.1037469764621
1961-03-01,98.1489056978974
1961-04-01,98.2689790915239
1961-05-01,98.4440563689375
1961-06-01,98.6564644911045
1961-07-01,98.8902611529513
1961-08-01,99.1325027933615
1961-09-01,99.3725874228402
1961-10-01,99.6005719964083
1961-11-01,99.8067198476341
1961-12-01,99.981492959882
1962-01-01,100.116697794578
1962-02-01,100.205746106731
1962-03-01,100.246357334741
1962-04-01,100.246160212999
1962-05-01,100.214716795668
1962-06-01,100.158191813294
1962-07-01,100.076037135228
1962-08-01,99.9657662374765
1962-09-01,99.8292612555623
1962-10-01,99.6807484320565
1962-11-01,99.5390861074847
1962-12-01,99.420836380058
1963-01-01,99.3327835864224
1963-02-01,99.2774608216314
1963-03-01,99.2562242302136
1963-04-01,99.2697275838988
1963-05-01,99.316535043096
1963-06-01,99.388995603431
1963-07-01,99.4664617549334
1963-08-01,99.5274996927067
1963-09-01,99.5614077951889
1963-10-01,99.5805500226417
1963-11-01,99.6051833355619
1963-12-01,99.6491840816945
1964-01-01,99.7052484373455
1964-02-01,99.7568417264366
1964-03-01,99.7889592439781
1964-04-01,99.7989215173178
1964-05-01,99.78926679162
1964-06-01,99.7620833269332
1964-07-01,99.7146389171633
1964-08-01,99.6456154079096
1964-09-01,99.5626015224945
1964-10-01,99.4909182098678
1964-11-01,99.4594296953943
1964-12-01,99.485701891685
1965-01-01,99.5583164045116
1965-02-01,99.6558373613083
1965-03-01,99.7621175147663
1965-04-01,99.879650176342
1965-05-01,100.020753951202
1965-06-01,100.197897851669
1965-07-01,100.41225190734
1965-08-01,100.658625185837
1965-09-01,100.927580509283
1965-10-01,101.205117103003
1965-11-01,101.473166720894
1965-12-01,101.709389094036
1966-01-01,101.887609711009
1966-02-01,101.98418870981
1966-03-01,101.988543369015
1966-04-01,101.919326005066
1966-05-01,101.806155427504
1966-06-01,101.676774136438
1966-07-01,101.547743334926
1966-08-01,101.426778455575
1966-09-01,101.315275307097
1966-10-01,101.2104482973
1966-11-01,101.106598315072
1966-12-01,100.996109171627
1967-01-01,100.870589128537
1967-02-01,100.724121887968
1967-03-01,100.55777468609
1967-04-01,100.38575180132
1967-05-01,100.227079814319
1967-06-01,100.098091168088
1967-07-01,100.004335569748
1967-08-01,99.9479714468371
1967-09-01,99.9327551345143
1967-10-01,99.9665236735581
1967-11-01,100.057353617903
1967-12-01,100.20639912117
1968-01-01,100.396716779261
1968-02-01,100.603216389158
1968-03-01,100.799726323147
1968-04-01,100.965058178158
1968-05-01,101.083466767689
1968-06-01,101.147455352644
1968-07-01,101.164004559827
1968-08-01,101.147505183121
1968-09-01,101.116213035856
1968-10-01,101.091263044376
1968-11-01,101.089519024536
1968-12-01,101.116213549096
1969-01-01,101.15609541866
1969-02-01,101.185898678684
1969-03-01,101.185938586129
1969-04-01,101.152516965059
1969-05-01,101.087954588599
1969-06-01,100.993165664275
1969-07-01,100.862651226591
1969-08-01,100.688921760474
1969-09-01,100.469571468964
1969-10-01,100.217437015209
1969-11-01,99.9514903160994
1969-12-01,99.6903376013603
1970-01-01,99.4469898253368
1970-02-01,99.2301762286036
1970-03-01,99.0444941446302
1970-04-01,98.8887554102615
1970-05-01,98.7577943844735
1970-06-01,98.64215477269
1970-07-01,98.5260402305885
1970-08-01,98.3991772823963
1970-09-01,98.2685851569361
1970-10-01,98.170959238378
1970-11-01,98.1472811168144
1970-12-01,98.2153312271525
1971-01-01,98.3497215849186
1971-02-01,98.501361232092
1971-03-01,98.6247505222321
1971-04-01,98.7040308340882
1971-05-01,98.7404804125975
1971-06-01,98.7429500851908
1971-07-01,98.7212325615082
1971-08-01,98.687289595942
1971-09-01,98.6581490583076
1971-10-01,98.6596265835016
1971-11-01,98.7185335626246
1971-12-01,98.8527396151898
1972-01-01,99.0570038681352
1972-02-01,99.3140221746232
1972-03-01,99.6002063925608
1972-04-01,99.8875605361834
1972-05-01,100.152449281192
1972-06-01,100.384290934119
1972-07-01,100.595800244434
1972-08-01,100.810383656399
1972-09-01,101.05081777241
1972-10-01,101.327602446386
1972-11-01,101.639967862047
1972-12-01,101.974145120992
1973-01-01,102.298926037507
1973-02-01,102.576177577198
1973-03-01,102.772188880002
1973-04-01,102.872541468727
1973-05-01,102.875871633816
1973-06-01,102.794279197931
1973-07-01,102.660499098408
1973-08-01,102.508608272178
1973-09-01,102.358750973687
1973-10-01,102.203508095944
1973-11-01,102.024050213515
1973-12-01,101.806560348869
1974-01-01,101.560206307088
1974-02-01,101.301656226367
1974-03-01,101.04191151098
1974-04-01,100.77430488828
1974-05-01,100.484664839213
1974-06-01,100.161931961267
1974-07-01,99.8101793378376
1974-08-01,99.4396613866921
1974-09-01,99.0601116905605
1974-10-01,98.6755600492221
1974-11-01,98.2908330049739
1974-12-01,97.9182757413854
1975-01-01,97.5843466596979
1975-02-01,97.3195601845166
1975-03-01,97.1459643552077
1975-04-01,97.0728503414724
1975-05-01,97.0963579452065
1975-06-01,97.2045550612657
1975-07-01,97.3752326197679
1975-08-01,97.5862622214754
1975-09-01,97.8212742052068
1975-10-01,98.072284398078
1975-11-01,98.333981133976
1975-12-01,98.596558311237
